;meta[language=en]
; id      |key(hex)|key(str)| text
   1055110|231374e3||Skelligeli
   1059760|00000000||Əgər Margarita Laux-Antille-nin intellektual, ruhani və fiziki xüsusiyyətlərinin siyahısını tərtib etsəydim, dağ-dağ kağız lazım olardı. Dostları arasında Rita Thanedd adasındakı Aretuza Sehrbazlar Akademiyasının sabiq rektoru sayılırdı — məhz bu məktəbi məşhur əcdədi İлона Laux-Antille də bitirmişdi. Peşəsindən fərqli olaraq, Margarita siyasətə heç bir maraq göstərmirdi; o, Sehrbazlar Gildiyasına yalnız məktəbinin xeyri üçün üzv olmuşdu.Nəhayət, onun gözəlliyini də qeyd etmək lazımdır. Deyilirdi ki, ən böyük sənətkarların oymağa həkk etdiyi mərmər tanrıçaları və nimfalar belə bu sehrbazın gözəlliyinə rəqib çıxa bilməzdi. 
   1059773|00000000||Lakin zəkası baxmayaraq, Laux-Antille yoldaşlarının çoxunun taleyini bölüşmüşdü. O, hekayəmiz başlamazdan əvvəl həbs olunmuşdu və Oxenfurtun zindanlarında ittiham aktını və əvvəlcədən müəyyən edilmiş hökmü gözləyirdi.
   1059774|00000000||Lakin Geralt və Yenneferin cəsur səyləri sayəsində Margarita edamdan xilas edildi.
   1059725|00000000||Margarita Laux-Antille
   1043987|00000000||Sadəcə kiçik bir cızıq!
   1043989|00000000||Sən ağsaçlı axmaq…
   1044026|00000000||İndi sakitləş.
   1044028|00000000||Bunu belə sınama, boz oğlan.
   1043991|00000000||Yaxşı, *tüpürür* ədalət və nizam dərsi vaxtıdır.
   501932|f35733fb||Morkvarg
   1051217|5755c467||Alçağın Köməkçisi
